"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Air India","06/12/2019","Delhi","Cochin","DEL → CCU → BOM → COK","08:15 PM","07:15 PM","23h","2 stops","No info",163
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","12:35 PM","20h 35m","1 stop","In-flight meal not included",157
"GoAir","03/06/2019","Delhi","Cochin","DEL → BOM → COK","02:10 PM","07:20 PM","5h 10m","1 stop","No info",238
"Air India","03/21/2019","Banglore","New Delhi","BLR → COK → DEL","10:00 PM","01:20 PM","15h 20m","1 stop","No info",85
"IndiGo","04/03/2019","Banglore","Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",48
"IndiGo","05/01/2019","Banglore","Delhi","BLR → DEL","06:55 PM","09:50 PM","2h 55m","non-stop","No info",59
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","08:15 AM","13h 20m","1 stop","In-flight meal not included",95
"Jet Airways","06/09/2019","Delhi","Cochin","DEL → IDR → BOM → COK","09:25 PM","12:35 PM","15h 10m","2 stops","No info",162
"IndiGo","06/01/2019","Delhi","Cochin","DEL → LKO → COK","09:50 PM","03:35 AM","5h 45m","1 stop","No info",100
"GoAir","05/15/2019","Delhi","Cochin","DEL → BOM → COK","07:00 AM","12:55 PM","5h 55m","1 stop","No info",94
"Vistara","06/18/2019","Banglore","Delhi","BLR → DEL","09:45 AM","12:35 PM","2h 50m","non-stop","No info",57
"Vistara","06/15/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",45
"Vistara","06/18/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",45
"Air India","05/01/2019","Kolkata","Banglore","CCU → GAU → DEL → BLR","09:50 AM","11:15 PM","13h 25m","2 stops","No info",161
"IndiGo","04/06/2019","Banglore","Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",54
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → NAG → BOM → COK","02:35 PM","12:35 PM","22h","2 stops","In-flight meal not included",133
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","12:35 PM","5h 30m","1 stop","In-flight meal not included",151
"IndiGo","06/27/2019","Delhi","Cochin","DEL → BOM → COK","10:35 AM","09:00 PM","10h 25m","1 stop","No info",72
"SpiceJet","05/21/2019","Kolkata","Banglore","CCU → MAA → BLR","03:05 PM","08:20 PM","5h 15m","1 stop","No info",57
"Air India","05/18/2019","Kolkata","Banglore","CCU → BLR","02:15 PM","04:45 PM","2h 30m","non-stop","No info",76
"Jet Airways","03/06/2019","Banglore","New Delhi","BLR → BOM → DEL","07:00 AM","01:15 PM","6h 15m","1 stop","No info",235
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","07:00 PM","11h 55m","1 stop","No info",182
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → HYD → COK","07:05 AM","06:10 PM","11h 5m","1 stop","No info",118
"Air India","03/15/2019","Banglore","New Delhi","BLR → BOM → DEL","06:45 AM","03:15 PM","8h 30m","1 stop","No info",106
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → BOM → COK","08:55 PM","07:00 PM","22h 5m","1 stop","In-flight meal not included",151
"Air Asia","05/06/2019","Banglore","Delhi","BLR → DEL","11:10 AM","01:55 PM","2h 45m","non-stop","No info",41
"Multiple carriers","03/21/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","09:00 PM","12h","1 stop","No info",159
"SpiceJet","03/24/2019","Banglore","New Delhi","BLR → DEL","05:45 AM","08:35 AM","2h 50m","non-stop","No check-in baggage included",43
"IndiGo","05/27/2019","Banglore","Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",48
"Air India","05/03/2019","Chennai","Kolkata","MAA → CCU","11:40 AM","01:55 PM","2h 15m","non-stop","No info",57
"Air India","05/15/2019","Kolkata","Banglore","CCU → HYD → BLR","07:00 PM","11:05 AM","16h 5m","1 stop","No info",75
"Jet Airways","06/27/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","07:00 PM","19h 55m","2 stops","In-flight meal not included",136
"Jet Airways","03/09/2019","Delhi","Cochin","DEL → COK","11:00 AM","02:15 PM","3h 15m","non-stop","In-flight meal not included",88
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","10:55 AM","25h 20m","1 stop","No info",148
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","10:20 PM","01:10 AM","2h 50m","non-stop","No info",53
"IndiGo","06/18/2019","Banglore","Delhi","BLR → DEL","09:15 PM","12:15 AM","3h","non-stop","No info",48
"Air Asia","04/03/2019","Banglore","Delhi","BLR → DEL","11:55 PM","02:45 AM","2h 50m","non-stop","No info",55
"Jet Airways","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","07:45 PM","12:00 PM","16h 15m","1 stop","No info",174
"Air India","03/01/2019","Banglore","New Delhi","BLR → BOM → AMD → DEL","08:50 AM","11:55 PM","15h 5m","2 stops","No info",212
"Vistara","03/06/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",90
"Multiple carriers","05/06/2019","Delhi","Cochin","DEL → BOM → COK","07:00 PM","01:30 AM","6h 30m","1 stop","No info",98
"Vistara","03/06/2019","Mumbai","Hyderabad","BOM → DEL → HYD","03:40 PM","04:45 PM","25h 5m","1 stop","No info",151
"Air India","06/06/2019","Kolkata","Banglore","CCU → BOM → BLR","09:25 AM","09:50 PM","12h 25m","1 stop","No info",102
"Air India","04/03/2019","Delhi","Cochin","DEL → MAA → COK","06:05 AM","09:25 AM","27h 20m","1 stop","No info",62
"Multiple carriers","06/03/2019","Delhi","Cochin","DEL → BOM → COK","08:45 AM","07:00 PM","10h 15m","1 stop","No info",153
"IndiGo","05/15/2019","Delhi","Cochin","DEL → BOM → COK","03:00 PM","01:30 AM","10h 30m","1 stop","No info",88
"Vistara","05/24/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",45
"IndiGo","06/24/2019","Delhi","Cochin","DEL → BOM → COK","10:35 AM","09:00 PM","10h 25m","1 stop","No info",72
"Vistara","04/24/2019","Banglore","Delhi","BLR → DEL","09:45 AM","12:35 PM","2h 50m","non-stop","No info",66
"Air India","05/06/2019","Mumbai","Hyderabad","BOM → HYD","01:55 PM","03:25 PM","1h 30m","non-stop","No info",44
"Air India","05/21/2019","Delhi","Cochin","DEL → BHO → BOM → COK","05:55 AM","07:15 PM","13h 20m","2 stops","No info",132
"IndiGo","03/12/2019","Chennai","Kolkata","MAA → CCU","01:20 PM","03:35 PM","2h 15m","non-stop","No info",77
"Jet Airways","06/01/2019","Mumbai","Hyderabad","BOM → HYD","07:05 AM","08:30 AM","1h 25m","non-stop","No info",69
"Jet Airways","03/09/2019","Banglore","New Delhi","BLR → BOM → DEL","05:45 AM","08:15 AM","26h 30m","1 stop","In-flight meal not included",111
"Multiple carriers","06/24/2019","Delhi","Cochin","DEL → BOM → COK","11:40 AM","07:00 PM","7h 20m","1 stop","In-flight meal not included",132
"Jet Airways","06/24/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","12:35 PM","13h 30m","2 stops","No info",156
"IndiGo","03/21/2019","Delhi","Cochin","DEL → BLR → COK","05:05 AM","10:05 AM","5h","1 stop","No info",84
"Vistara","03/09/2019","Banglore","New Delhi","BLR → DEL","09:50 AM","12:35 PM","2h 45m","non-stop","No info",88
"GoAir","04/03/2019","Banglore","Delhi","BLR → DEL","11:40 AM","02:30 PM","2h 50m","non-stop","No info",48
"IndiGo","04/03/2019","Mumbai","Hyderabad","BOM → HYD","06:25 AM","07:55 AM","1h 30m","non-stop","No info",49
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","12:35 PM","19h 5m","1 stop","In-flight meal not included",125
"SpiceJet","03/21/2019","Chennai","Kolkata","MAA → CCU","08:20 AM","10:35 AM","2h 15m","non-stop","No check-in baggage included",41
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","12:00 PM","14h 50m","1 stop","In-flight meal not included",132
"Jet Airways","03/24/2019","Banglore","New Delhi","BLR → DEL","07:55 PM","10:35 PM","2h 40m","non-stop","No info",88
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","06:30 AM","04:40 AM","22h 10m","1 stop","No info",170
"IndiGo","06/27/2019","Delhi","Cochin","DEL → BOM → COK","11:25 AM","09:00 PM","9h 35m","1 stop","No info",72
"Multiple carriers","05/18/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","07:00 PM","10h","1 stop","No info",124
"Jet Airways","03/06/2019","Banglore","New Delhi","BLR → BOM → DEL","02:05 PM","11:25 AM","21h 20m","1 stop","In-flight meal not included",167
"IndiGo","06/24/2019","Delhi","Cochin","DEL → MAA → COK","02:00 AM","07:25 AM","5h 25m","1 stop","No info",69
"Jet Airways","06/06/2019","Delhi","Cochin","DEL → JAI → BOM → COK","09:40 AM","04:25 AM","18h 45m","2 stops","No info",159
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","08:45 PM","12h 20m","1 stop","In-flight meal not included",86
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → DEL → BLR","08:25 PM","02:25 PM","18h","1 stop","In-flight meal not included",131
"Multiple carriers","05/27/2019","Delhi","Cochin","DEL → HYD → COK","01:15 PM","10:30 PM","9h 15m","1 stop","No info",118
"Multiple carriers","03/06/2019","Delhi","Cochin","DEL → BOM → COK","02:15 AM","01:20 PM","11h 5m","1 stop","No info",208
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","04:55 PM","10:25 AM","17h 30m","1 stop","No info",169
"Air India","03/06/2019","Delhi","Cochin","DEL → BHO → BOM → COK","05:55 AM","07:15 PM","13h 20m","2 stops","No info",168
"Air India","04/21/2019","Kolkata","Banglore","CCU → BLR","08:45 PM","11:20 PM","2h 35m","non-stop","No info",60
"IndiGo","06/21/2019","Chennai","Kolkata","MAA → CCU","05:15 AM","07:40 AM","2h 25m","non-stop","No info",43
"SpiceJet","05/15/2019","Banglore","Delhi","BLR → DEL","05:55 AM","08:35 AM","2h 40m","non-stop","No check-in baggage included",40
"Jet Airways","06/03/2019","Banglore","Delhi","BLR → DEL","07:50 PM","10:50 PM","3h","non-stop","In-flight meal not included",79
"Jet Airways","06/18/2019","Mumbai","Hyderabad","BOM → HYD","07:05 AM","08:30 AM","1h 25m","non-stop","No info",98
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → ATQ → BOM → COK","08:00 PM","12:35 PM","16h 35m","2 stops","No info",174
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","08:45 PM","12h 20m","1 stop","No info",180
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","08:15 AM","12h 15m","1 stop","No info",182
"Jet Airways","06/24/2019","Delhi","Cochin","DEL → BOM → COK","08:55 PM","04:25 AM","7h 30m","1 stop","In-flight meal not included",125
"Air India","05/12/2019","Kolkata","Banglore","CCU → MAA → BLR","02:35 PM","02:35 PM","24h","1 stop","No info",80
"Air India","05/01/2019","Banglore","Delhi","BLR → DEL","06:10 AM","08:55 AM","2h 45m","non-stop","No info",75
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → JAI → BOM → COK","07:30 PM","04:25 AM","8h 55m","2 stops","In-flight meal not included",159
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","11:40 AM","06:50 PM","7h 10m","1 stop","No info",139
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","04:45 AM","07:15 PM","14h 30m","1 stop","No info",92
"Air India","05/09/2019","Delhi","Cochin","DEL → JDH → BOM → COK","12:55 PM","07:15 PM","30h 20m","2 stops","No info",141
"Jet Airways","05/24/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","07:00 PM","19h 55m","2 stops","No info",185
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","02:05 PM","05:05 AM","15h","1 stop","No info",165
"IndiGo","04/12/2019","Banglore","Delhi","BLR → DEL","06:55 PM","09:50 PM","2h 55m","non-stop","No info",71
"Vistara","05/12/2019","Kolkata","Banglore","CCU → DEL → BLR","08:20 PM","09:05 AM","12h 45m","1 stop","No info",115
"Jet Airways","03/06/2019","Delhi","Cochin","DEL → BOM → COK","06:15 PM","04:25 AM","10h 10m","1 stop","No info",208
"GoAir","06/27/2019","Delhi","Cochin","DEL → BOM → COK","07:00 AM","12:55 PM","5h 55m","1 stop","No info",64
"Multiple carriers","05/18/2019","Delhi","Cochin","DEL → HYD → COK","07:05 AM","10:30 PM","15h 25m","1 stop","No info",126
"Air India","03/06/2019","Delhi","Cochin","DEL → MAA → COK","05:20 PM","09:25 AM","16h 5m","1 stop","No info",155
"Multiple carriers","03/03/2019","Delhi","Cochin","DEL → BOM → COK","03:25 PM","01:35 AM","10h 10m","1 stop","No info",185
"Vistara","06/12/2019","Banglore","Delhi","BLR → DEL","07:00 AM","09:40 AM","2h 40m","non-stop","No info",57
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","07:00 PM","11h 55m","1 stop","No info",190
"SpiceJet","04/09/2019","Banglore","Delhi","BLR → DEL","05:55 AM","08:35 AM","2h 40m","non-stop","No info",48
"Air India","05/03/2019","Mumbai","Hyderabad","BOM → HYD","03:00 PM","04:25 PM","1h 25m","non-stop","No info",38
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","10:05 AM","14h 5m","1 stop","In-flight meal not included",118
"Air India","03/01/2019","Delhi","Cochin","DEL → BOM → COK","11:00 PM","07:15 PM","20h 15m","1 stop","No info",335
"IndiGo","05/12/2019","Chennai","Kolkata","MAA → CCU","05:15 AM","07:40 AM","2h 25m","non-stop","No info",43
"Air India","05/21/2019","Kolkata","Banglore","CCU → BBI → BOM → BLR","12:00 PM","11:10 AM","23h 10m","2 stops","No info",130
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → BOM → BLR","02:05 PM","08:15 AM","18h 10m","1 stop","No info",159
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","12:00 PM","16h","1 stop","No info",176
"IndiGo","06/24/2019","Banglore","Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",48
"IndiGo","06/03/2019","Chennai","Kolkata","MAA → CCU","02:45 PM","05:05 PM","2h 20m","non-stop","No info",44
"Air India","03/21/2019","Banglore","New Delhi","BLR → MAA → DEL","11:50 AM","07:50 PM","8h","1 stop","No info",72
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","04:25 AM","16h 55m","1 stop","In-flight meal not included",125
"Vistara","05/12/2019","Delhi","Cochin","DEL → COK","02:40 PM","05:50 PM","3h 10m","non-stop","No info",76
"IndiGo","06/15/2019","Kolkata","Banglore","CCU → BLR","08:25 PM","11:10 PM","2h 45m","non-stop","No info",59
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","01:30 AM","14h","1 stop","No info",172
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → AMD → BOM → COK","07:10 PM","07:00 PM","23h 50m","2 stops","No info",185
"Jet Airways","06/06/2019","Delhi","Cochin","DEL → NAG → BOM → COK","06:45 AM","04:25 AM","21h 40m","2 stops","No info",163
"Air India","06/27/2019","Delhi","Cochin","DEL → GOI → BOM → COK","10:00 PM","07:15 PM","21h 15m","2 stops","No info",127
"Jet Airways","05/24/2019","Banglore","Delhi","BLR → DEL","06:00 AM","08:45 AM","2h 45m","non-stop","In-flight meal not included",49
"Jet Airways","03/03/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","06:50 PM","10h 50m","1 stop","No info",208
"Multiple carriers","04/09/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","01:30 AM","8h","1 stop","No info",159
"GoAir","06/06/2019","Kolkata","Banglore","CCU → BOM → BLR","11:30 PM","07:45 AM","8h 15m","1 stop","No info",82
"IndiGo","06/15/2019","Delhi","Cochin","DEL → MAA → COK","02:00 AM","07:25 AM","5h 25m","1 stop","No info",69
"IndiGo","06/09/2019","Delhi","Cochin","DEL → HYD → COK","07:35 AM","04:10 PM","8h 35m","1 stop","No info",79
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → HYD → COK","01:05 PM","12:55 AM","11h 50m","1 stop","No info",116
"Jet Airways","05/21/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","11:35 PM","27h 35m","1 stop","In-flight meal not included",132
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → ATQ → BOM → COK","08:00 PM","04:25 AM","8h 25m","2 stops","In-flight meal not included",187
"Air India","04/03/2019","Delhi","Cochin","DEL → MAA → COK","12:30 PM","09:25 AM","20h 55m","1 stop","No info",62
"IndiGo","06/24/2019","Delhi","Cochin","DEL → BLR → COK","03:10 PM","08:00 PM","4h 50m","1 stop","No info",75
"Multiple carriers","06/09/2019","Delhi","Cochin","DEL → BOM → COK","12:50 PM","09:00 PM","8h 10m","1 stop","No info",85
"SpiceJet","04/03/2019","Kolkata","Banglore","CCU → BLR","10:20 PM","12:40 AM","2h 20m","non-stop","No info",47
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → BDQ → BOM → COK","06:25 PM","06:50 PM","24h 25m","2 stops","In-flight meal not included",113
"GoAir","06/27/2019","Banglore","Delhi","BLR → DEL","11:40 AM","02:30 PM","2h 50m","non-stop","No info",48
"Jet Airways","05/12/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","08:45 PM","12h 20m","1 stop","No info",180
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","08:15 AM","12h 15m","1 stop","In-flight meal not included",105
"Air India","05/09/2019","Kolkata","Banglore","CCU → JAI → BOM → BLR","08:20 AM","07:55 AM","23h 35m","2 stops","No info",130
"Jet Airways","06/27/2019","Delhi","Cochin","DEL → ATQ → BOM → COK","08:00 PM","12:35 PM","16h 35m","2 stops","No info",174
"IndiGo","03/03/2019","Banglore","New Delhi","BLR → DEL","06:55 PM","09:45 PM","2h 50m","non-stop","No info",108
"Jet Airways","05/12/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","06:15 PM","25h 45m","1 stop","In-flight meal not included",132
"Jet Airways","03/06/2019","Delhi","Cochin","DEL → BOM → COK","02:15 AM","04:25 AM","26h 10m","1 stop","No info",208
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","02:25 PM","28h 50m","1 stop","In-flight meal not included",114
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","12:40 AM","03:25 AM","2h 45m","non-stop","No info",58
"Air India","06/09/2019","Kolkata","Banglore","CCU → BBI → BLR","12:00 PM","01:15 PM","25h 15m","1 stop","No info",93
"IndiGo","05/09/2019","Delhi","Cochin","DEL → HYD → COK","06:50 AM","04:10 PM","9h 20m","1 stop","No info",79
"SpiceJet","06/12/2019","Delhi","Cochin","DEL → PNQ → COK","08:45 AM","01:15 PM","4h 30m","1 stop","No info",64
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → BOM → COK","01:00 PM","04:25 AM","15h 25m","1 stop","In-flight meal not included",157
"Air India","03/03/2019","Mumbai","Hyderabad","BOM → HYD","01:55 PM","03:25 PM","1h 30m","non-stop","No info",74
"SpiceJet","05/21/2019","Banglore","Delhi","BLR → DEL","05:55 AM","08:35 AM","2h 40m","non-stop","No info",40
"Jet Airways","03/27/2019","Delhi","Cochin","DEL → BOM → COK","07:15 PM","04:25 AM","9h 10m","1 stop","In-flight meal not included",80
"IndiGo","05/27/2019","Banglore","Delhi","BLR → DEL","01:30 AM","04:15 AM","2h 45m","non-stop","No info",42
"Jet Airways","04/03/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","12:35 PM","22h 35m","1 stop","In-flight meal not included",63
"Air India","04/18/2019","Delhi","Cochin","DEL → COK","06:05 PM","09:10 PM","3h 5m","non-stop","No info",101
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","09:05 PM","11h 30m","1 stop","No info",179
"Multiple carriers","06/27/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","09:00 PM","9h 30m","1 stop","No info",166
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","09:20 AM","12h 10m","1 stop","In-flight meal not included",118
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","10:05 AM","17h 35m","1 stop","No info",159
"IndiGo","04/03/2019","Delhi","Cochin","DEL → BOM → COK","08:25 PM","01:30 AM","5h 5m","1 stop","No info",62
"Vistara","05/21/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","06:50 PM","25h 50m","1 stop","No info",114
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","02:05 PM","10:05 AM","20h","1 stop","In-flight meal not included",118
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","09:00 PM","13h","1 stop","No info",174
"Jet Airways","06/01/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","04:25 AM","18h 25m","1 stop","In-flight meal not included",125
"Jet Airways","03/27/2019","Mumbai","Hyderabad","BOM → HYD","07:35 PM","09:05 PM","1h 30m","non-stop","No info",69
"Multiple carriers","05/15/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","01:30 AM","9h 30m","1 stop","No info",167
"Jet Airways","05/06/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","12:00 PM","16h","1 stop","In-flight meal not included",118
"IndiGo","05/12/2019","Chennai","Kolkata","MAA → CCU","02:45 PM","05:05 PM","2h 20m","non-stop","No info",47
"SpiceJet","06/24/2019","Delhi","Cochin","DEL → PNQ → COK","08:45 AM","01:15 PM","4h 30m","1 stop","No info",59
"IndiGo","06/27/2019","Delhi","Cochin","DEL → LKO → COK","09:50 PM","03:35 AM","5h 45m","1 stop","No info",70
"Jet Airways","06/06/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","09:45 AM","24h 10m","1 stop","In-flight meal not included",129
"IndiGo","06/03/2019","Kolkata","Banglore","CCU → BLR","03:30 PM","06:05 PM","2h 35m","non-stop","No info",59
"Air Asia","06/12/2019","Banglore","Delhi","BLR → DEL","11:10 AM","01:55 PM","2h 45m","non-stop","No info",41
"IndiGo","03/03/2019","Banglore","New Delhi","BLR → HYD → DEL","12:10 PM","05:05 PM","4h 55m","1 stop","No info",107
"Air India","03/27/2019","Delhi","Cochin","DEL → TRV → COK","05:15 AM","06:50 AM","25h 35m","1 stop","No info",87
"IndiGo","06/24/2019","Delhi","Cochin","DEL → HYD → COK","04:10 PM","10:30 PM","6h 20m","1 stop","No info",78
"Jet Airways","06/27/2019","Banglore","Delhi","BLR → DEL","06:55 PM","10:00 PM","3h 5m","non-stop","No info",98
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","08:35 PM","03:15 PM","18h 40m","1 stop","In-flight meal not included",135
"SpiceJet","06/27/2019","Chennai","Kolkata","MAA → CCU","09:45 AM","12:00 PM","2h 15m","non-stop","No check-in baggage included",43
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","04:40 AM","12h 10m","1 stop","No info",152
"Jet Airways","06/24/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","04:25 AM","19h 25m","1 stop","In-flight meal not included",125
"Air India","03/18/2019","Banglore","New Delhi","BLR → DEL","01:20 PM","04:10 PM","2h 50m","non-stop","No info",54
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","03:30 PM","8h 25m","1 stop","No info",153
"GoAir","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","10:25 PM","07:40 AM","9h 15m","1 stop","No info",123
"Air India","06/03/2019","Banglore","Delhi","BLR → DEL","09:05 PM","11:55 PM","2h 50m","non-stop","No info",85
"IndiGo","04/24/2019","Delhi","Cochin","DEL → COK","05:35 AM","08:50 AM","3h 15m","non-stop","No info",61
"Air India","05/18/2019","Delhi","Cochin","DEL → COK","05:10 AM","08:00 AM","2h 50m","non-stop","No info",85
"Multiple carriers","06/03/2019","Delhi","Cochin","DEL → BOM → COK","06:40 AM","07:00 PM","12h 20m","1 stop","No info",133
"Jet Airways","04/18/2019","Banglore","Delhi","BLR → DEL","03:15 PM","06:10 PM","2h 55m","non-stop","No info",88
"IndiGo","03/27/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","01:35 AM","9h 35m","1 stop","No info",86
"Vistara","06/27/2019","Banglore","Delhi","BLR → DEL","05:00 PM","07:35 PM","2h 35m","non-stop","No info",60
